country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,11.2k,11.6k,12.2k,12.8k,13.5k,13.9k,14.5k,15.1k,15.7k,16.6k,17.5k,18.3k,19k,20k,20.7k,20.4k,21.2k,21.8k,22.6k,23.3k,23.6k,23.7k,24.2k,24.3k,24.6k,24.8k,25.3k,25.8k,26.8k,27.9k,28.5k,28.7k,29k,28.7k,29.2k,29.7k,30.1k,30.7k,31.6k,32.6k,33.6k,34k,34.2k,34.2k,34.9k,35.2k,35.8k,36.5k,36.4k,35.1k,35.6k,36.2k,36.2k,36.2k,36.4k,36.7k,37k,37.7k,38.3k,38.9k,35.8k
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4k,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,2480,2450,2460,2490,2520,2640,2680,2830,2760,2910,2800,2620,2700,2750,2890,2960,2980,3030,2950,3020,3040,3010,2970,3010,3080,3170,3080,2920,2820,2910,2900,2940,2920,2920,2840
Gabon,3390,3850,4090,4290,4420,4710,4840,4940,4960,5250,5590,6050,6610,7150,9790,11.4k,15.2k,13k,9640,9450,9460,9700,9160,9430,9870,9380,9060,7300,8010,8460,8660,8940,8430,8530,8620,8820,8910,9180,9270,8240,7890,7870,7660,7650,7510,7500,7090,7300,6850,6630,6860,7090,7180,7300,7350,7380,7310,7150,7020,7120,6820
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,18.5k,18.5k,21.7k,23.4k,25.6k,26.8k,27.5k,27.7k,27.8k,28.4k,29.5k,30.5k,32.6k,34.9k,39k,43.8k,45.5k,47.5k,50k,52.7k,55k,57.6k,61.3k,65k,67.3k,68k,69.9k,71.3k,76.8k,80.5k,85.2k,85.1k,91k,94.9k,96.4k,96.1k,
United Kingdom,14.9k,15.2k,15.2k,15.9k,16.6k,16.9k,17k,17.4k,18.3k,18.6k,19.7k,20.3k,21.1k,22.4k,21.8k,21.5k,22.1k,22.7k,23.6k,24.5k,24k,23.8k,24.3k,25.3k,25.8k,26.8k,27.6k,29k,30.6k,31.3k,31.5k,31k,31.1k,31.8k,32.9k,33.6k,34.4k,36k,37k,38k,39.2k,39.9k,40.6k,41.6k,42.3k,43.1k,43.9k,44.6k,44.1k,41.9k,42.5k,42.8k,43.1k,43.6k,44.6k,45.4k,46.1k,46.7k,47.2k,47.8k,43k
Georgia,,,,,,1800,1910,2010,2080,2160,2400,2430,2470,2610,2820,3000,3160,3360,3590,3820,3960,4140,4180,4330,4520,4700,4280,4300,4490,4160,3550,2780,1520,1070,970,1030,1190,1360,1440,1510,1570,1670,1770,1980,2110,2330,2560,2900,2980,2900,3100,3360,3600,3740,3900,4010,4130,4330,4540,4770,4450
Ghana,1150,1160,1170,1180,1170,1150,1080,1080,1060,1100,1180,1200,1140,1140,1190,1020,960,963,1030,980,962,905,818,758,799,815,832,847,869,888,891,912,920,937,942,954,973,988,1010,1030,1040,1060,1080,1110,1140,1180,1220,1240,1320,1350,1420,1580,1690,1770,1780,1770,1790,1900,1970,2050,2020
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,526,527,544,548,555,554,557,569,577,588,598,613,619,627,628,637,657,653,655,661,655,684,696,673,689,712,738,750,760,769,830,891,921,946,984
Gambia,,,,,,,610,594,633,631,650,631,614,651,669,729,757,757,779,743,764,765,736,791,790,752,748,730,725,733,727,722,721,719,698,683,677,688,691,713,729,747,700,724,751,711,686,686,708,733,753,671,685,684,654,661,654,665,693,714,692
Guinea-Bissau,,,,,,,,,,,517,488,509,505,520,555,579,536,606,616,513,597,610,575,612,622,603,607,621,644,669,687,679,678,685,700,766,800,564,559,577,578,560,550,552,562,562,566,570,574,586,617,590,593,584,603,625,645,638,650,619
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,528,528,502,486,457,486,453,455,453,435,414,397,518,556,626,710,1140,2740,3250,3930,4450,6980,8000,8750,11.6k,12.9k,13.3k,14.6k,16.4k,15.9k,13.8k,14.1k,14.6k,13.4k,12.9k,11.3k,9890,8990,8120,7370,6780
Greece,5030,5650,5640,6280,6850,7550,7980,8360,8910,9900,10.7k,11.5k,12.6k,13.6k,12.6k,13.3k,14k,14.2k,15.1k,15.4k,15.3k,15k,14.7k,14.5k,14.7k,15k,15k,14.6k,15.2k,15.7k,15.5k,15.8k,15.8k,15.5k,15.7k,15.9k,16.3k,17k,17.5k,18k,18.6k,19.3k,20k,21.1k,22.1k,22.2k,23.4k,24.1k,23.9k,22.8k,21.6k,19.4k,18.1k,17.8k,18k,18.1k,18.1k,18.3k,18.6k,19k,17.3k
Grenada,,,,,,,,,,,,,,,,,,3270,3490,3700,3670,3660,3700,3720,3760,3930,4200,4620,4820,5060,5290,5360,5280,5120,5150,5210,5400,5640,6270,6680,6980,6810,7020,7650,7580,8560,8190,8680,8740,8130,8060,8080,7930,8070,8600,9100,9380,9740,10.1k,10.1k,8700
Greenland,,,,,,,,,,,15.4k,17.1k,17.7k,18.7k,19.5k,19.6k,20.7k,22.7k,24.2k,25.2k,27k,26.8k,25.3k,25.9k,24.3k,24.9k,26.6k,27.7k,28.9k,30.5k,26.8k,26.8k,25.5k,24.3k,25.6k,26.4k,26.8k,27.1k,29.2k,29.6k,31.6k,31.9k,31.5k,32.8k,35k,36.7k,38.8k,39.9k,42.5k,42.9k,43.2k,43k,43.7k,43.3k,45.5k,44.5k,46.6k,46.6k,47.6k,48.2k,
Guatemala,1850,1880,1890,2010,2040,2070,2130,2150,2280,2330,2400,2470,2590,2700,2810,2800,2940,3100,3180,3250,3290,3230,3030,2880,2810,2720,2650,2670,2700,2730,2730,2760,2820,2850,2900,2970,2980,3040,3120,3160,3200,3190,3240,3250,3280,3320,3430,3570,3620,3570,3610,3690,3730,3800,3900,3990,4030,4090,4160,4250,4130
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5k,30.7k,32.6k,33.7k,32.5k,32.7k,33.3k,33.4k,34.1k,34.1k,34.7k,35.2k,35.7k,35.8k,35.7k,35.7k,35.1k,35.7k,31.2k
Guyana,2720,2760,2720,2320,2520,2730,2820,2890,2870,3030,3120,3180,3040,3040,3240,3480,3490,3360,3270,3180,3220,3270,2840,2650,2530,2610,2600,2650,2580,2470,2400,2540,2720,2920,3150,3300,3560,3800,3760,3890,3850,3950,3990,3970,4030,3940,4150,4440,4510,4680,4850,5090,5340,5510,5570,5580,5760,5950,6180,6480,9250
"Hong Kong, China",,3960,4330,4850,5140,5740,5790,5740,5810,6360,6780,7120,7730,8440,8370,8250,9470,10.4k,11.1k,11.7k,12.6k,13.4k,13.6k,14.2k,15.4k,15.4k,16.9k,18.9k,20.4k,20.6k,21.4k,22.4k,23.6k,24.6k,25.5k,25.6k,25.6k,26.6k,24.9k,25.2k,26.9k,26.9k,27.2k,28.1k,30.3k,32.4k,34.5k,36.4k,36.9k,35.9k,38.1k,39.7k,39.9k,41k,41.8k,42.4k,43.1k,44.4k,45.3k,44.2k,41.6k
Honduras,1210,1200,1230,1240,1270,1350,1380,1420,1470,1440,1450,1460,1500,1570,1510,1490,1600,1710,1760,1800,1760,1680,1600,1570,1620,1660,1690,1750,1730,1730,1730,1620,1670,1730,1690,1740,1720,1750,1760,1700,1780,1780,1800,1830,1900,1970,2050,2130,2170,2070,2110,2140,2190,2210,2240,2290,2330,2410,2460,2480,2220
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7260,7800,8320,8510,8470,8810,9430,9960,10.5k,10.9k,11.4k,12k,12.6k,12.8k,11.9k,11.7k,11.8k,11.5k,11.5k,11.5k,11.9k,12.4k,13k,13.5k,14.1k,13k
Haiti,1730,1650,1740,1680,1620,1620,1580,1520,1540,1570,1550,1620,1610,1660,1720,1710,1820,1850,1930,2030,2130,2030,1910,1880,1840,1810,1760,1710,1680,1600,1580,1580,1470,1360,1180,1270,1300,1310,1320,1330,1320,1290,1280,1300,1270,1280,1290,1320,1340,1400,1300,1340,1330,1370,1370,1390,1390,1410,1410,1370,1310
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7590,7360,7330,7550,7680,7700,7960,8280,8560,8970,9360,9830,10.3k,10.8k,11.3k,11.7k,11.8k,11.9k,11.2k,11.3k,11.6k,11.5k,11.7k,12.2k,12.7k,13k,13.6k,14.4k,15k,14.4k
Indonesia,601,619,614,585,589,580,580,572,618,642,673,701,731,770,808,827,862,915,954,999,1070,1130,1130,1150,1200,1210,1250,1290,1340,1410,1490,1560,1640,1710,1820,1930,2050,2120,1820,1800,1870,1910,1970,2030,2110,2200,2290,2400,2510,2600,2720,2850,2980,3100,3220,3330,3460,3590,3730,3880,3760
India,303,308,310,322,339,323,317,334,338,353,363,361,351,354,350,373,371,388,401,372,388,401,406,425,432,444,455,463,497,515,533,528,545,560,586,618,653,666,695,743,758,781,797,845,898,954,1010,1080,1090,1160,1240,1290,1350,1420,1500,1610,1720,1820,1920,1970,1810
Ireland,,,,,,,,,,,12k,12.3k,12.9k,13.3k,13.6k,14.2k,14.1k,15.1k,16k,16.2k,16.5k,16.9k,17.1k,17k,17.6k,18.1k,18k,18.8k,19.9k,21.2k,22.9k,23.2k,23.8k,24.4k,25.7k,28k,29.8k,32.8k,35.3k,38.6k,41.6k,43.1k,44.9k,45.5k,47.7k,49.4k,50.5k,51.6k,48.3k,45.4k,45.9k,46.2k,46k,46.3k,50k,62k,62.6k,67.4k,72.6k,75.1k,78.7k
Iran,2390,2600,2750,2870,3060,3490,3780,4110,4590,5200,5630,6270,6980,7380,7640,7250,8250,7670,6390,5530,3870,3530,4300,4480,3920,3850,3320,3220,2930,3010,3330,3660,3700,3670,3570,3600,3730,3700,3730,3720,3890,3870,4100,4410,4540,4630,4810,5150,5100,5100,5330,5410,4950,4880,5040,4900,5490,5610,5200,4790,4880
Iraq,,,,,,,,,1270,1260,1280,1300,1300,1320,1480,1610,1830,1810,2050,2400,2910,2810,2830,2390,2300,2280,2330,2490,2440,2310,3560,1250,1610,2030,2050,2030,2180,2560,3350,3820,4340,4280,3820,2350,3520,3490,3620,3630,3860,3910,4050,4220,4630,4790,4630,4690,5180,4960,4980,5150,4250
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2k,35.6k,37.3k,39.6k,40.7k,42.2k,43.3k,43.1k,43.8k,46.8k,48.9k,50.7k,53.6k,53.8k,49.5k,48.2k,48.9k,49.2k,50.9k,51.2k,53k,55.5k,56.5k,57.7k,57.8k,53.2k
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2k,26k,26.4k,26.8k,27.1k,28.7k,28.1k,27.5k,27.3k,28.2k,28.8k,29.9k,31.2k,31.7k,31.3k,32.5k,33.7k,34k,35k,35.7k,35.8k,36.7k,37.6k,38.3k,39k,37.5k
Italy,9690,10.4k,11k,11.5k,11.7k,12k,12.6k,13.5k,14.2k,15k,15.7k,15.9k,16.4k,17.5k,18.3k,17.8k,19k,19.4k,20k,21.1k,21.8k,22k,22k,22.3k,23k,23.6k,24.3k,25.1k,26.1k,27k,27.5k,27.9k,28.1k,27.9k,28.4k,29.3k,29.6k,30.2k,30.7k,31.2k,32.4k,33k,33k,32.9k,33.2k,33.3k,33.8k,34.1k,33.5k,31.6k,32.1k,32.2k,31.2k,30.3k,30k,30.2k,30.7k,31.2k,31.6k,32.1k,29.4k
Jamaica,,,,,,,3950,3970,4140,4320,4770,4810,5590,5200,4900,4820,4430,4270,4210,4120,3830,3870,3880,3890,3770,3620,3650,3910,4040,4300,4450,4630,4680,5070,5090,5160,5100,5000,4830,4840,4840,4870,4930,5080,5120,5140,5260,5310,5240,4990,4890,4950,4890,4880,4890,4910,4950,4970,5040,5070,4540
Jordan,,,,,,,,,,,,,,,,,2700,2850,3180,3730,4020,4540,4680,4390,4390,4100,4160,4100,4000,3420,3250,3130,3390,3350,3350,3420,3390,3410,3450,3500,3590,3710,3850,3920,4150,4340,4520,4680,4790,4780,4640,4520,4390,4270,4220,4160,4120,4110,4110,4130,4030
Japan,6260,6950,7500,8060,8900,9320,10.2k,11.2k,12.5k,13.9k,14.1k,14.5k,15.5k,16.5k,16.1k,16.3k,16.8k,17.4k,18.1k,19k,19.3k,20k,20.5k,21.1k,21.9k,22.9k,23.6k,24.6k,26.1k,27.3k,28.5k,29.4k,29.5k,29.3k,29.5k,30.2k,31k,31.3k,30.8k,30.6k,31.4k,31.5k,31.4k,31.8k,32.5k,33.1k,33.5k,34k,33.6k,31.7k,32.9k,33k,33.5k,34.2k,34.4k,35k,35.3k,35.9k,36.2k,36.4k,34.8k
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830,5160,4890,4450,3950,3700,3780,3900,3890,4040,4450,5060,5550,6050,6580,7160,7840,8440,8550,8490,8980,9510,9820,10.3k,10.5k,10.5k,10.5k,10.8k,11.1k,11.4k,11k
Kenya,751,672,712,750,763,753,836,835,872,909,837,986,1110,1140,1140,1110,1090,1150,1180,1220,1240,1240,1210,1180,1160,1160,1200,1230,1260,1270,1280,1260,1210,1180,1170,1190,1200,1170,1180,1170,1150,1160,1130,1130,1160,1200,1240,1290,1260,1260,1330,1360,1380,1400,1430,1460,1490,1510,1560,1600,1560
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,1040,1150,1160,1200,1090,928,785,627,587,620,671,675,689,718,749,742,786,831,821,837,900,966,982,966,1010,994,1080,1100,1120,1150,1180,1200,1230,1100
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,365,388,399,403,411,452,487,516,539,575,625,696,760,825,867,855,892,940,993,1050,1100,1160,1220,1290,1370,1440,1380
Kiribati,,,,,,,,,,,2160,2080,2290,2730,3910,4060,2930,2750,2740,2390,1970,1880,1980,1940,2000,1820,1770,1560,1660,1560,1520,1490,1480,1480,1480,1460,1470,1470,1540,1490,1550,1500,1540,1540,1490,1530,1500,1490,1430,1410,1370,1370,1410,1450,1420,1540,1600,1590,1630,1660,1610
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,4640,4840,5240,5720,5840,5900,6010,6580,7200,8060,8680,9570,10.2k,10.7k,10.5k,10.8k,11.4k,11.9k,12.4k,13k,13.8k,13.6k,13.9k,15.1k,15.7k,15.8k,14.9k,15.3k,16.7k,17k,16.9k,17.8k,17k,16.7k,16.9k,16.4k,17.1k,18k,18k,20.3k,20.3k,20.7k,21.5k,18.3k
South Korea,1030,1070,1080,1140,1220,1270,1390,1480,1640,1840,1980,2140,2250,2550,2740,2910,3240,3580,3910,4190,4060,4280,4570,5100,5570,5950,6560,7320,8120,8610,9370,10.3k,10.8k,11.4k,12.4k,13.4k,14.3k,15.1k,14.2k,15.7k,17k,17.7k,18.9k,19.4k,20.4k,21.2k,22.2k,23.4k,23.9k,23.9k,25.5k,26.2k,26.7k,27.4k,28.1k,28.7k,29.5k,30.3k,31.1k,31.6k,31.3k
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,2730,2840,3000,3020,3160,3280,3520,3740,3890,4010,4220,3990
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7k,34.5k,33.6k,32.5k,30k,30k,29.2k,29.6k,34.3k,37.2k,39.8k,41k,41.2k,39.8k,34.8k,32k,33.2k,33.5k,32.1k,30.9k,29.9k,29.8k,27.7k,27.5k,27.2k,24.4k
Lao,,,,,,,,,,,,,,,,,,,,,,,,,588,601,613,587,558,620,642,652,669,691,729,762,798,836,853,899,936,974,1020,1060,1110,1170,1250,1330,1410,1490,1590,1690,1800,1910,2030,2140,2260,2370,2480,2580,2550
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5070,2880,3540,5070,5610,5890,6070,6240,6780,6760,6940,6810,6730,6730,6640,6530,6690,6680,6700,7310,7980,8710,9140,8770,8450,8220,7950,7660,7570,7520,7350,6820,5380
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,770,780,536,540,554,578,609,626,634,649,680,713,754,740,722,693,692,683,650,616
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6460,6590,6370,6210,6910,7100,7830,8210,8600,8710,8530,8870,3340,7400,6360,4800,4340,4170,5210,5910,5970,4050
St. Lucia,,,,,,,,,,,,,,,,,,4300,4670,4770,4600,4820,4860,5040,5330,5680,6390,6510,7280,7790,8420,8340,8890,8840,8870,8920,9060,8870,9300,9430,9330,8930,8900,9210,9800,9660,10.1k,10.2k,10.5k,10.1k,10.2k,10.6k,10.5k,10.1k,10.3k,10.1k,10.4k,10.7k,11k,10.9k,8650
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167k,,,,,
Sri Lanka,,617,626,627,636,637,653,679,701,738,750,744,727,763,778,811,822,848,880,920,958,997,1020,1060,1100,1130,1170,1170,1180,1190,1250,1300,1340,1410,1480,1550,1600,1690,1760,1830,1920,1880,1940,2040,2130,2240,2400,2540,2670,2750,2950,3180,3460,3550,3690,3840,3970,4070,4160,4230,4050
Lesotho,231,231,262,284,301,302,294,319,311,309,309,317,309,382,413,348,376,445,511,511,483,473,481,478,492,493,504,497,528,547,567,593,620,628,651,660,684,697,697,693,715,739,747,785,804,836,874,912,962,948,996,1040,1100,1110,1120,1150,1180,1130,1110,1100,983
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940,5230,5710,6180,6150,6420,6900,7420,8280,8920,9770,10.7k,12k,12.4k,10.7k,11.1k,12k,12.7k,13.3k,13.9k,14.3k,14.8k,15.7k,16.4k,17.2k,17.2k
Luxembourg,25.5k,26.3k,26.3k,26.9k,28.7k,28.2k,28.3k,28.2k,29.4k,32.1k,35.5k,36.1k,38k,40.7k,41.9k,38.7k,39.5k,40.1k,41.6k,42.5k,42.7k,42.3k,42.8k,44.1k,46.7k,47.9k,52.5k,54.2k,58.4k,63.5k,66k,70.8k,71.1k,73.1k,74.9k,74.9k,74.9k,78k,82.2k,87.7k,92.5k,94.2k,96.3k,97.6k,100k,101k,106k,112k,110k,105k,107k,105k,104k,105k,106k,105k,108k,107k,107k,109k,105k
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970,5160,5670,6090,6300,6730,7250,7850,8590,9410,10.5k,11.9k,13.2k,12.9k,11.2k,11k,11.5k,12.4k,12.8k,13.2k,13.8k,14.2k,14.8k,15.6k,16.1k,15.6k
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,23.3k,24.7k,25.7k,24.9k,25.4k,27.9k,28.9k,29.2k,30.6k,30.8k,34.1k,35.1k,35.8k,36.3k,35.4k,34.6k,32.3k,30.9k,32k,32.1k,34.1k,37.2k,45.9k,48.5k,53.8k,60.2k,61k,60.5k,74k,87.9k,93.8k,101k,97.2k,74.8k,73k,79k,82.9k,79.7k,36.2k
Morocco,,,,,,,728,781,838,888,910,940,943,957,990,1040,1130,1170,1170,1190,1210,1160,1230,1220,1260,1310,1400,1370,1500,1520,1540,1620,1560,1520,1650,1540,1710,1660,1750,1750,1760,1870,1910,1990,2070,2110,2240,2290,2400,2470,2530,2630,2670,2750,2790,2880,2870,2950,3000,3040,2820
Monaco,,,,,,,,,,,75.2k,78.3k,80.8k,84.7k,87.2k,85k,87.7k,89.8k,92.3k,94.5k,94.8k,94.2k,94.9k,94.4k,94.4k,95k,96.6k,98.6k,103k,107k,109k,110k,110k,108k,110k,111k,111k,113k,115k,118k,122k,123k,123k,123k,125k,126k,132k,149k,149k,131k,132k,140k,139k,151k,160k,166k,170k,163k,171k,182k,159k
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1420,1450,1350,1310,1340,1420,1540,1640,1770,1910,2000,2070,2230,2100,2250,2390,2370,2590,2720,2730,2890,3070,3260,3440,3250
Madagascar,814,811,809,782,793,770,766,788,820,828,849,858,824,781,774,762,718,715,676,722,708,620,591,580,573,563,559,549,552,559,560,509,500,496,481,474,469,472,475,482,488,501,426,453,463,471,482,495,514,480,469,464,465,463,465,467,473,479,481,489,442
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5540,5860,6240,6590,6870,6980,6540,6830,7550,7790,6590,8110,8530,9120,8220,8520,8890,8730,8950,9180,9030,9190,9440,9820,10.2k,6660
Mexico,3740,3810,3860,4050,4390,4560,4690,4810,5110,5120,5290,5330,5590,5860,6020,6190,6290,6340,6730,7200,7680,8130,7900,7460,7540,7540,7150,7130,7080,7230,7460,7630,7760,7770,8020,7390,7770,8170,8460,8570,8860,8700,8580,8590,8800,8880,9140,9210,9180,8570,8880,9080,9280,9280,9430,9620,9750,9840,9950,9820,8910
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,2500,2510,2770,2740,2450,2910,3040,3130,2960,2950,2880,3030,3180,3340,3600,3220,3020,3000,2960,2980,3140,3200,3080,3050,3080,3040,3120,2920,3010,3210,3180,3100,3210,3160,3200,3230,3310,3410,3610,3510
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,3430,3220,2980,2930,2900,2920,2950,3040,3150,3280,3170,3240,3300,3450,3600,3780,4020,4230,4210,4340,4430,4410,4530,4690,4860,4990,5040,5180,5390,5120
Mali,,,,,,,,351,359,355,372,375,390,378,366,401,448,468,453,491,461,459,416,415,406,479,485,477,506,519,497,543,513,516,521,512,534,546,572,588,572,641,641,678,667,688,697,697,707,717,732,732,705,701,729,751,772,789,802,815,782
Malta,,,,,,,,,,,3140,3210,3400,3550,3900,4630,5400,6030,6630,7250,7680,7880,7890,7730,7800,7870,8040,8310,8930,9570,10.1k,10.4k,10.8k,11.2k,11.7k,12.3k,12.7k,13.3k,13.9k,14.5k,17.2k,16.9k,17.2k,17.7k,17.7k,18.1k,18.5k,19.3k,19.9k,19.6k,20.6k,20.6k,21.2k,22.1k,23.3k,24.9k,25.4k,26.7k,27.1k,27.5k,25k
Myanmar,,145,145,155,156,156,156,144,145,152,155,158,159,157,156,160,165,171,177,184,191,201,208,214,219,223,221,212,192,181,184,184,190,202,213,226,238,249,260,279,310,345,381,427,481,542,610,682,753,826,903,963,1020,1090,1170,1200,1310,1380,1460,1550,1590
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4490,4720,4290,4430,4460,4530,4620,4820,5010,5430,5800,6200,5830,5980,6170,5990,6200,6300,6510,6700,7020,7380,7680,6510
Mongolia,,,,,,,,,,,,,,,,,,,,,,1430,1510,1560,1610,1660,1770,1780,1820,1850,1750,1580,1410,1360,1380,1450,1470,1520,1550,1590,1590,1620,1680,1780,1950,2070,2220,2410,2590,2510,2630,3030,3340,3650,3860,3880,3860,4000,4230,4390,4130
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5k,27.8k,27.3k,24.1k,22.7k,21.5k,19.3k,16k,16.3k,15.1k,15.2k,15.4k,15.9k,16.3k,20.9k,25.6k,20.5k,18.1k,
Mozambique,,,,,,,,,,,,,,,,,,,,,242,248,226,187,172,172,167,192,208,221,220,225,204,217,222,219,236,256,275,299,295,321,341,353,370,384,409,429,448,463,480,502,523,544,569,590,595,600,603,599,575
Mauritania,,1220,1190,1130,1400,1580,1540,1550,1650,1620,1760,1740,1680,1560,1690,1560,1640,1570,1510,1540,1550,1550,1470,1480,1400,1400,1440,1430,1410,1440,1380,1370,1360,1400,1320,1420,1460,1370,1370,1390,1300,1250,1230,1280,1310,1380,1590,1510,1460,1420,1420,1430,1450,1470,1490,1520,1500,1550,1580,1620,1550
Mauritius,,,,,,,,,,,,,,,,,2350,2460,2520,2570,2270,2370,2470,2460,2540,2700,2940,3180,3370,3490,3720,3840,4040,4190,4310,4450,4650,4860,5100,5160,5530,5670,5730,6020,6240,6320,6590,6940,7290,7510,7820,8120,8380,8650,8950,9260,9610,9970,10.3k,10.6k,9060
Malawi,179,188,185,178,178,197,218,228,218,225,220,249,257,256,267,276,281,286,304,308,301,278,278,281,287,287,272,260,253,244,249,265,243,266,238,275,290,294,297,298,294,273,271,279,287,289,295,314,328,346,359,366,362,370,381,381,380,384,391,401,394
Malaysia,1240,1290,1330,1380,1410,1470,1550,1570,1650,1690,1750,1880,2010,2190,2320,2280,2480,2610,2710,2890,3030,3160,3270,3390,3570,3440,3380,3460,3690,3910,4140,4410,4680,5020,5350,5730,6140,6420,5800,6010,6390,6290,6490,6730,7040,7270,7530,7850,8070,7810,8250,8550,8890,9180,9600,9960,10.3k,10.7k,11.1k,11.4k,10.6k
Namibia,,,,,,,,,,,,,,,,,,,,,3290,3250,3160,3030,2950,2870,2910,2900,2820,2770,2730,2870,2990,2870,2850,2900,2930,2990,3030,3070,3120,3110,3210,3300,3650,3680,3880,4010,4040,3980,4150,4280,4420,4590,4780,4900,4810,4670,4630,4510,4050
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5k,,,,,
Niger,768,780,836,889,864,898,869,846,825,758,760,781,720,581,615,581,569,595,656,683,647,628,623,582,471,492,509,495,513,503,481,464,458,444,437,433,418,410,435,419,399,413,418,411,398,411,420,417,432,424,443,437,464,470,482,484,493,498,514,524,523
Nigeria,1430,1410,1440,1530,1570,1610,1510,1240,1200,1460,1780,1990,2010,2070,2240,2060,2190,2250,2060,2130,2160,1830,1660,1440,1390,1430,1400,1400,1470,1460,1590,1550,1590,1510,1450,1410,1440,1440,1440,1420,1450,1500,1690,1760,1880,1950,2010,2090,2170,2290,2400,2460,2500,2600,2690,2690,2580,2530,2510,2500,2400
Nicaragua,1680,1750,1880,2020,2190,2330,2330,2420,2380,2460,2410,2420,2400,2470,2740,2650,2710,2840,2540,1810,1840,1890,1820,1850,1780,1660,1610,1560,1340,1290,1260,1230,1200,1170,1190,1230,1290,1310,1340,1410,1440,1470,1460,1470,1530,1570,1620,1670,1710,1630,1680,1760,1850,1920,1980,2050,2120,2190,2090,1980,1920
Netherlands,14.3k,14.1k,14.9k,15.2k,16.3k,17.4k,17.7k,18.4k,19.4k,20.4k,21.4k,22k,22.6k,23.6k,24.2k,24k,24.9k,25.4k,25.9k,26.2k,26.4k,26k,25.5k,26k,26.7k,27.2k,27.8k,28.2k,29k,30.1k,31.1k,31.6k,31.9k,32.1k,32.8k,33.7k,34.7k,36k,37.5k,39.1k,40.5k,41.1k,40.9k,40.8k,41.5k,42.2k,43.6k,45.1k,45.9k,44k,44.4k,44.9k,44.2k,44.1k,44.5k,45.2k,45.9k,47k,47.8k,48.4k,46.3k
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3k,23k,23k,22.6k,22.3k,21.9k,21.7k,21.8k,22k,21.7k,21.5k,21.3k,21.1k,20.7k,20.2k,20k,19.5k,19.1k,18.8k,18.4k,15.3k
